23.33%
     1.000000    0.000000
     0.993811    0.002036
     0.983185    0.005258
     0.970954    0.008629
     0.957312    0.012209
     0.942656    0.016134
     0.927364    0.020251
     0.911840    0.024422
     0.896201    0.028650
     0.880446    0.032929
     0.864682    0.037204
     0.848887    0.041515
     0.833058    0.045841
     0.817228    0.050162
     0.801444    0.054451
     0.785691    0.058707
     0.769998    0.062910
     0.754421    0.067045
     0.738936    0.071053
     0.723503    0.074966
     0.708176    0.078734
     0.692884    0.082355
     0.677637    0.085825
     0.662417    0.089124
     0.647181    0.092265
     0.631939    0.095242
     0.616690    0.098059
     0.601471    0.100690
     0.586183    0.103151
     0.570889    0.105447
     0.555558    0.107567
     0.540208    0.109529
     0.524860    0.111309
     0.509469    0.112913
     0.494041    0.114366
     0.478658    0.115639
     0.463236    0.116731
     0.447823    0.117662
     0.432425    0.118406
     0.417036    0.118973
     0.401673    0.119353
     0.386331    0.119548
     0.371058    0.119551
     0.355809    0.119339
     0.340605    0.118929
     0.325438    0.118295
     0.310285    0.117455
     0.295203    0.116396
     0.280162    0.115117
     0.265207    0.113616
     0.250327    0.111874
     0.235516    0.109900
     0.220814    0.107678
     0.206208    0.105211
     0.191721    0.102484
     0.177363    0.099506
     0.163194    0.096267
     0.149216    0.092756
     0.135474    0.088971
     0.121999    0.084916
     0.108903    0.080598
     0.096228    0.076018
     0.084100    0.071182
     0.072560    0.066108
     0.061778    0.060870
     0.051869    0.055525
     0.042968    0.050209
     0.035162    0.045060
     0.028501    0.040209
     0.022918    0.035701
     0.018279    0.031570
     0.014451    0.027798
     0.011297    0.024341
     0.008718    0.021148
     0.006600    0.018187
     0.004882    0.015425
     0.003483    0.012847
     0.002376    0.010425
     0.001509    0.008150
     0.000855    0.006007
     0.000395    0.003988
     0.000120    0.002080
     0.000000    0.000287
     0.000111   -0.001476
     0.000454   -0.003300
     0.001187   -0.005107
     0.002303   -0.006857
     0.003736   -0.008556
     0.005474   -0.010215
     0.007509   -0.011851
     0.009906   -0.013418
     0.012688   -0.014943
     0.015927   -0.016410
     0.019713   -0.017823
     0.024166   -0.019212
     0.029443   -0.020628
     0.035739   -0.022071
     0.043277   -0.023536
     0.052233   -0.024970
     0.062661   -0.026289
     0.074519   -0.027444
     0.087537   -0.028376
     0.101480   -0.029072
     0.116112   -0.029535
     0.131210   -0.029831
     0.146555   -0.029955
     0.162105   -0.029915
     0.177795   -0.029745
     0.193563   -0.029446
     0.209444   -0.029027
     0.225419   -0.028515
     0.241448   -0.027923
     0.257559   -0.027243
     0.273757   -0.026514
     0.290010   -0.025733
     0.306324   -0.024921
     0.322661   -0.024086
     0.339006   -0.023229
     0.355358   -0.022374
     0.371715   -0.021517
     0.388051   -0.020646
     0.404366   -0.019782
     0.420679   -0.018902
     0.437003   -0.018025
     0.453315   -0.017142
     0.469583   -0.016251
     0.485872   -0.015342
     0.502217   -0.014440
     0.518574   -0.013526
     0.534941   -0.012623
     0.551347   -0.011732
     0.567754   -0.010848
     0.584148   -0.009972
     0.600481   -0.009109
     0.616808   -0.008288
     0.633160   -0.007476
     0.649504   -0.006662
     0.665817   -0.005877
     0.682151   -0.005101
     0.698500   -0.004323
     0.714836   -0.003567
     0.731132   -0.002835
     0.747391   -0.002143
     0.763643   -0.001452
     0.779843   -0.000802
     0.796027   -0.000210
     0.812198    0.000330
     0.828328    0.000811
     0.844435    0.001221
     0.860515    0.001572
     0.876503    0.001843
     0.892442    0.002019
     0.908280    0.002101
     0.924008    0.002071
     0.939487    0.001958
     0.954412    0.001713
     0.968579    0.001271
     0.981781    0.000725
     0.993391    0.000267
     1.000000    0.000000
